date,safegraph_place,visitor_home_cbg,number
2020-02-03,sg:25d381c5fd4e40b4a1e5a42253683166,511076105031,4
2020-02-03,sg:172b76bef22f4229ab2a20d9b66c199d,511210210003,4
2020-02-03,sg:57c655da8d784c30b5bf3b22c145c2ee,
2020-02-03,sg:5c981354e4764b4cb3918b756c205457,517700028001,4
2020-02-03,sg:5c981354e4764b4cb3918b756c205457,511210210002,4
2020-02-03,sg:5c981354e4764b4cb3918b756c205457,511210212001,4
2020-02-03,sg:080d255aae124b508bdded61d9ae86f0,
2020-02-03,sg:fe39b90b91c44b25bce304b00ae3c6b3,511210212003,6
2020-02-03,sg:fe39b90b91c44b25bce304b00ae3c6b3,511210205003,5
2020-02-03,sg:fe39b90b91c44b25bce304b00ae3c6b3,511210205004,4
2020-02-03,sg:fe39b90b91c44b25bce304b00ae3c6b3,511210211002,4
2020-02-03,sg:fe39b90b91c44b25bce304b00ae3c6b3,518000752031,4
2020-02-03,sg:fe39b90b91c44b25bce304b00ae3c6b3,511539012211,4
2020-02-03,sg:fe39b90b91c44b25bce304b00ae3c6b3,511076110242,4
2020-02-03,sg:fe39b90b91c44b25bce304b00ae3c6b3,516800008023,4
2020-02-03,sg:fe39b90b91c44b25bce304b00ae3c6b3,511552101005,4
2020-02-03,sg:fe39b90b91c44b25bce304b00ae3c6b3,511210209002,4
2020-02-03,sg:fe39b90b91c44b25bce304b00ae3c6b3,510719301001,4
2020-02-03,sg:fe39b90b91c44b25bce304b00ae3c6b3,511539014091,4
2020-02-03,sg:fe39b90b91c44b25bce304b00ae3c6b3,511210211001,4
2020-02-03,sg:fe39b90b91c44b25bce304b00ae3c6b3,511210210002,4
2020-02-03,sg:fe39b90b91c44b25bce304b00ae3c6b3,515500210062,4
2020-02-03,sg:fe39b90b91c44b25bce304b00ae3c6b3,510719303002,4
2020-02-03,sg:fe39b90b91c44b25bce304b00ae3c6b3,511210202014,4
2020-02-03,sg:fe39b90b91c44b25bce304b00ae3c6b3,510853209003,4
2020-02-03,sg:fe39b90b91c44b25bce304b00ae3c6b3,510719304003,4
2020-02-03,sg:fe39b90b91c44b25bce304b00ae3c6b3,511210206001,4
2020-02-03,sg:fe39b90b91c44b25bce304b00ae3c6b3,511210207004,4
2020-02-03,sg:fe39b90b91c44b25bce304b00ae3c6b3,511210202021,4
2020-02-03,sg:fe39b90b91c44b25bce304b00ae3c6b3,511210211003,4
2020-02-03,sg:fe39b90b91c44b25bce304b00ae3c6b3,371830511022,4
2020-02-03,sg:fe39b90b91c44b25bce304b00ae3c6b3,511210207001,4
2020-02-03,sg:1cd43b4c599e4eb4895cbfb5f179b083,511210212003,4
2020-02-03,sg:1cd43b4c599e4eb4895cbfb5f179b083,540639502005,4
2020-02-03,sg:736e79e27bfb4e4892e199d1dc7bd72a,511210206001,4
2020-02-03,sg:d6d6cf51ce094c0abcce614c7d5a70bb,510719304002,5
2020-02-03,sg:d6d6cf51ce094c0abcce614c7d5a70bb,511210203005,4
2020-02-03,sg:d6d6cf51ce094c0abcce614c7d5a70bb,511210205004,4
2020-02-03,sg:d6d6cf51ce094c0abcce614c7d5a70bb,511690302004,4
2020-02-03,sg:d6d6cf51ce094c0abcce614c7d5a70bb,511210207001,4
2020-02-03,sg:f7da6a82d67244afaf432685617b5cf7,510619304032,4
2020-02-03,sg:0d99ee1e157d4657a539f5b85d72a9aa,510594922022,4
2020-02-03,sg:87bd071c14994d23a4995f8ec46bab71,
2020-02-03,sg:7843649d066c47f1a0f9e0e153481444,511210210001,4
2020-02-03,sg:6d4a38cfbaa04b5d85dcd7830ad1e9b7,
2020-02-03,sg:c7a76fa349e0402ca744ee32a78dbbd4,510719304001,4
2020-02-03,sg:7449803e30584d06994bddd7810b9670,
2020-02-03,sg:d194ad4b52a346a1a2b98db18ad7890b,511076105052,4
2020-02-03,sg:37da431082114ab58ddaa4d3b063a961,510450501002,4
2020-02-03,sg:37da431082114ab58ddaa4d3b063a961,510853208043,4
2020-02-03,sg:e82b3dea34a94a759431b420c6b82b9d,511610301003,5
2020-02-03,sg:e82b3dea34a94a759431b420c6b82b9d,511210210002,4
2020-02-03,sg:206b3df975354bbdb39190d66ddb2c17,511076110201,4
2020-02-03,sg:174b7f7c03a64d4da887a319f88221fe,
2020-02-03,sg:261ec8f9326f450dbeee932cbc0b2f9f,
2020-02-03,sg:43b6a05c86e641d68c5b13a849f59946,510639201022,4
2020-02-03,sg:d85829d48c4141ada8ab36598397da51,540379725031,4
2020-02-03,sg:d6476ea4440d458fadeb6275ca8c9567,511552107002,4
2020-02-03,sg:d6476ea4440d458fadeb6275ca8c9567,511552106003,4
2020-02-03,sg:d6476ea4440d458fadeb6275ca8c9567,511552102021,4
2020-02-03,sg:d6476ea4440d458fadeb6275ca8c9567,511552106001,4
2020-02-03,sg:007b0b2c7f994ccbb047b038c2168694,511210208003,4
2020-02-03,sg:007b0b2c7f994ccbb047b038c2168694,511552104002,4
2020-02-03,sg:007b0b2c7f994ccbb047b038c2168694,511210206001,4
2020-02-03,sg:007b0b2c7f994ccbb047b038c2168694,511210211003,4
2020-02-03,sg:005837d9f50f45079db676fec7d1039c,511210203004,4
2020-02-03,sg:005837d9f50f45079db676fec7d1039c,511210209002,4
2020-02-03,sg:005837d9f50f45079db676fec7d1039c,511210206002,4
2020-02-03,sg:005837d9f50f45079db676fec7d1039c,511210205003,4
2020-02-03,sg:129bc8470dc842a885fe35c7ad7eeee8,
2020-02-03,sg:bd537848cce7430e94c602c527e83fb3,240253035011,4
2020-02-03,sg:bd537848cce7430e94c602c527e83fb3,511076105072,4
2020-02-03,sg:bd537848cce7430e94c602c527e83fb3,240338021042,4
2020-02-03,sg:bd537848cce7430e94c602c527e83fb3,240338002091,4
2020-02-03,sg:bd537848cce7430e94c602c527e83fb3,511076105031,4
2020-02-03,sg:bd537848cce7430e94c602c527e83fb3,511076110212,4
2020-02-03,sg:bd537848cce7430e94c602c527e83fb3,511076118063,4
2020-02-03,sg:bd537848cce7430e94c602c527e83fb3,510594816002,4
2020-02-03,sg:bd537848cce7430e94c602c527e83fb3,510594612022,4
2020-02-03,sg:64560e53560d45d4a32052e79651d04f,511210205003,4
